INFO mlfcs.reciprocal.scph.solver: SCPH iteration 101: delta_omega=1.172637e-08 THz, frequency_min=-2.730299e-09 THz, frequency_max=8.309894e+00 THz, correction_norm=1.355124e+00, q_points=1, irreducible=1, reduction=1.00, diagonalizations=102
INFO mlfcs.reciprocal.scph.solver: SCPH iteration 102: delta_omega=1.589654e-08 THz, frequency_min=5.948597e-08 THz, frequency_max=8.309894e+00 THz, correction_norm=1.355124e+00, q_points=1, irreducible=1, reduction=1.00, diagonalizations=103
INFO mlfcs.reciprocal.scph.solver: SCPH iteration 103: delta_omega=2.027770e-08 THz, frequency_min=-5.067260e-08 THz, frequency_max=8.309894e+00 THz, correction_norm=1.355124e+00, q_points=1, irreducible=1, reduction=1.00, diagonalizations=104
INFO mlfcs.reciprocal.scph.solver: SCPH iteration 104: delta_omega=6.094543e-09 THz, frequency_min=-5.265860e-08 THz, frequency_max=8.309894e+00 THz, correction_norm=1.355124e+00, q_points=1, irreducible=1, reduction=1.00, diagonalizations=105
INFO mlfcs.reciprocal.scph.solver: SCPH iteration 105: delta_omega=9.183824e-09 THz, frequency_min=-9.180220e-08 THz, frequency_max=8.309894e+00 THz, correction_norm=1.355124e+00, q_points=1, irreducible=1, reduction=1.00, diagonalizations=106
INFO mlfcs.reciprocal.scph.solver: SCPH iteration 106: delta_omega=7.268017e-09 THz, frequency_min=-7.047990e-08 THz, frequency_max=8.309894e+00 THz, correction_norm=1.355124e+00, q_points=1, irreducible=1, reduction=1.00, diagonalizations=107
INFO mlfcs.reciprocal.scph.solver: SCPH iteration 107: delta_omega=1.310260e-08 THz, frequency_min=-1.859067e-08 THz, frequency_max=8.309894e+00 THz, correction_norm=1.355124e+00, q_points=1, irreducible=1, reduction=1.00, diagonalizations=108
INFO mlfcs.reciprocal.scph.solver: SCPH iteration 108: delta_omega=5.012645e-09 THz, frequency_min=-9.108171e-09 THz, frequency_max=8.309894e+00 THz, correction_norm=1.355124e+00, q_points=1, irreducible=1, reduction=1.00, diagonalizations=109
INFO mlfcs.reciprocal.scph.solver: SCPH iteration 109: delta_omega=1.260859e-08 THz, frequency_min=-7.613114e-08 THz, frequency_max=8.309894e+00 THz, correction_norm=1.355124e+00, q_points=1, irreducible=1, reduction=1.00, diagonalizations=110
INFO mlfcs.reciprocal.scph.solver: SCPH iteration 110: delta_omega=2.085057e-08 THz, frequency_min=3.168302e-08 THz, frequency_max=8.309894e+00 THz, correction_norm=1.355124e+00, q_points=1, irreducible=1, reduction=1.00, diagonalizations=111
